Actions,NUISANCES,BRUIT,IMPACTS,GEOTECHNIQ,EQUIPEMENT,ACCESSIBIL,CLIMAT
729,1.00,0.99,2,6,1867,10,0.68
732,1.00,0.98,2,6,1957,10,0.71
737,1.00,0.97,2,6,2047,10,0.70
740,0.85,0.97,2,6,2147,10,0.69
743,1.00,0.93,2,6,2233,9,0.67
745,0.50,0.96,2,6,2185,12,0.84
748,1.00,0.67,2,6,2220,9,0.68
1030,1.00,0.15,4,6,1832,11,0.71
1033,0.99,0.55,4,6,1906,10,0.74
1038,0.98,0.27,4,6,2037,10,0.75
1045,1.00,0.96,4,6,2232,13,0.86
1046,0.95,0.69,4,6,2186,5,0.78
1233,1.00,0.62,6,3,1911,10,0.70
1236,0.40,1.00,6,3,2070,6,0.85
1239,1.00,1.00,6,3,2142,6,0.85
1321,1.00,0.98,6,6,1648,10,0.84
1324,0.70,0.98,6,6,1756,10,0.68
1326,1.00,0.98,6,6,1821,10,0.83
